alpha, latent_features, steps, learning_rate, NDCG
1, 250, 100, 0.001, 0.22923652159621985
1, 250, 200, 1, 0.08626774101024286
1, 250, 200, 0.5, 0.12795080276720538
1, 250, 200, 0.1, 0.5043843783476156
1, 250, 200, 0.05, 0.5033855850472039
1, 250, 200, 0.01, 0.48455389880407274
1, 250, 200, 0.005, 0.4421509518331799
1, 250, 200, 0.001, 0.25389100162834827
1, 250, 300, 1, 0.07254858203930856
1, 250, 300, 0.5, 0.09765428608067661
1, 250, 300, 0.1, 0.504366495238161
1, 250, 300, 0.05, 0.5002207163112768
1, 250, 300, 0.01, 0.48277593232833266
1, 250, 300, 0.005, 0.4728144510950338
1, 250, 300, 0.001, 0.29363612202966927
1, 250, 400, 1, 0.07061957555837918
1, 250, 400, 0.5, 0.08475195880890724
1, 250, 400, 0.1, 0.5113491822219668
1, 250, 400, 0.05, 0.5014092866549427
1, 250, 400, 0.01, 0.4913134123242518
1, 250, 400, 0.005, 0.48857396012042126
1, 250, 400, 0.001, 0.3375529127815112
1, 250, 500, 1, 0.08045083279608074
1, 250, 500, 0.5, 0.08335099094441671
1, 250, 500, 0.1, 0.5203562472836119
1, 250, 500, 0.05, 0.5066309174897307
1, 250, 500, 0.01, 0.4925496152879586
1, 250, 500, 0.005, 0.4901840578094499
1, 250, 500, 0.001, 0.3668109237976628
1, 250, 600, 1, 0.07766211893456858
1, 250, 600, 0.5, 0.07792344464716493
1, 250, 600, 0.1, 0.4107714927819007
1, 250, 600, 0.05, 0.5066090225265731
1, 250, 600, 0.01, 0.498820493611695
1, 250, 600, 0.005, 0.4940696858884585
1, 250, 600, 0.001, 0.39267242208884434
1, 250, 700, 1, 0.07481633640047522
1, 250, 700, 0.5, 0.0763729777696582
1, 250, 700, 0.1, 0.2658853647686305
1, 250, 700, 0.05, 0.512169528915537
1, 250, 700, 0.01, 0.49780232611305586
1, 250, 700, 0.005, 0.49160564196498074
1, 250, 700, 0.001, 0.4109408863094433
1, 250, 800, 1, 0.09677635413308673
1, 250, 800, 0.5, 0.07736769316570007
1, 250, 800, 0.1, 0.19974381756133616
1, 250, 800, 0.05, 0.5058334633364406
1, 250, 800, 0.01, 0.5020292115659504
1, 250, 800, 0.005, 0.5000715255976353
1, 250, 800, 0.001, 0.41783080630699954
1, 250, 900, 1, 0.10228030553551518
1, 250, 900, 0.5, 0.07229953521988251
1, 250, 900, 0.1, 0.16199857764972864
1, 250, 900, 0.05, 0.5153084744797154
1, 250, 900, 0.01, 0.5001784858812526
1, 250, 900, 0.005, 0.49854516082395806
1, 250, 900, 0.001, 0.434457418068406
1, 250, 1000, 1, 0.1171288538244295
1, 250, 1000, 0.5, 0.07925036290409636
1, 250, 1000, 0.1, 0.14158648821251868
1, 250, 1000, 0.05, 0.516006625109004
1, 250, 1000, 0.01, 0.5023670113316705
1, 250, 1000, 0.005, 0.49937773673573804
1, 250, 1000, 0.001, 0.43485937419590814
1, 300, 100, 1, 0.1943950242307059
1, 300, 100, 0.5, 0.5129964050014906
1, 300, 100, 0.1, 0.5028467213492861
1, 300, 100, 0.05, 0.4954354025456842
1, 300, 100, 0.01, 0.4422268856507435
1, 300, 100, 0.005, 0.3681361407067878
1, 300, 100, 0.001, 0.23109511265014027
1, 300, 200, 1, 0.09047874089791956
1, 300, 200, 0.5, 0.18829284024942333
1, 300, 200, 0.1, 0.5073255730872529
1, 300, 200, 0.05, 0.508016887573765
1, 300, 200, 0.01, 0.4803738329390603
1, 300, 200, 0.005, 0.43537256560780263
1, 300, 200, 0.001, 0.25522998048405876
1, 300, 300, 1, 0.08281978320179306
1, 300, 300, 0.5, 0.10788574291374367
1, 300, 300, 0.1, 0.5031744113707297
1, 300, 300, 0.05, 0.4977155016840842
1, 300, 300, 0.01, 0.4910076248103526
1, 300, 300, 0.005, 0.4576066194338214
1, 300, 300, 0.001, 0.29786816704418484
1, 300, 400, 1, 0.0734778847623253
1, 300, 400, 0.5, 0.08674243848063812
1, 300, 400, 0.1, 0.5070058903711786
1, 300, 400, 0.05, 0.5021917932439983
1, 300, 400, 0.01, 0.49620912988089444
1, 300, 400, 0.005, 0.4811095582288269
1, 300, 400, 0.001, 0.32454801548695106
1, 300, 500, 1, 0.07304170626531295
1, 300, 500, 0.5, 0.08183643147383514
1, 300, 500, 0.1, 0.5148953332839226
1, 300, 500, 0.05, 0.49565426874708385
1, 300, 500, 0.01, 0.5010330899059983
1, 300, 500, 0.005, 0.4759869438368892
1, 300, 500, 0.001, 0.3450136512832495
1, 300, 600, 1, 0.06914136639389219
1, 300, 600, 0.5, 0.07768003878369643
1, 300, 600, 0.1, 0.5165677862296904
1, 300, 600, 0.05, 0.5024268709444895
1, 300, 600, 0.01, 0.4979099510881879
1, 300, 600, 0.005, 0.4897242103245234
1, 300, 600, 0.001, 0.3796403049814077
1, 300, 700, 1, 0.08646361459317216
1, 300, 700, 0.5, 0.07780698333625279
1, 300, 700, 0.1, 0.4254206461079712
1, 300, 700, 0.05, 0.5018107417756607
1, 300, 700, 0.01, 0.5035371658012898
1, 300, 700, 0.005, 0.4891741362795239
1, 300, 700, 0.001, 0.3993886380302368
1, 300, 800, 1, 0.09309415501638615
1, 300, 800, 0.5, 0.07862931213302204
1, 300, 800, 0.1, 0.2860254653716313
1, 300, 800, 0.05, 0.503725171735228
1, 300, 800, 0.01, 0.5069862300229578
1, 300, 800, 0.005, 0.49147149562430154
1, 300, 800, 0.001, 0.4130181704043162
1, 300, 900, 1, 0.10136418472675139
1, 300, 900, 0.5, 0.06884197642091583
1, 300, 900, 0.1, 0.22039821675335478
1, 300, 900, 0.05, 0.5146130683534867
1, 300, 900, 0.01, 0.5043059274649617
1, 300, 900, 0.005, 0.4952236232491517
1, 300, 900, 0.001, 0.43276520907092236
1, 300, 1000, 1, 0.11547891790900684
1, 300, 1000, 0.5, 0.07298125290904857
1, 300, 1000, 0.1, 0.17747741035137893
1, 300, 1000, 0.05, 0.5182464530591536
1, 300, 1000, 0.01, 0.4957311691827726
1, 300, 1000, 0.005, 0.5008950965272456
1, 300, 1000, 0.001, 0.44608798501356833
1, 350, 100, 1, 0.2580453553700748
1, 350, 100, 0.5, 0.5119145949930617
1, 350, 100, 0.1, 0.49824784997443267
1, 350, 100, 0.05, 0.4953203140704934
1, 350, 100, 0.01, 0.42563537696338805
1, 350, 100, 0.005, 0.3494662546788623
1, 350, 100, 0.001, 0.21305481940724186
1, 350, 200, 1, 0.10325076594388469
1, 350, 200, 0.5, 0.2501968640273349
1, 350, 200, 0.1, 0.5011576635603487
1, 350, 200, 0.05, 0.5009032165677234
1, 350, 200, 0.01, 0.4742838856189601
1, 350, 200, 0.005, 0.43204156512373804
1, 350, 200, 0.001, 0.27072830404482684
1, 350, 300, 1, 0.0865034611264908
1, 350, 300, 0.5, 0.1266166246843846
1, 350, 300, 0.1, 0.5011353929271611
1, 350, 300, 0.05, 0.5024981736977951
1, 350, 300, 0.01, 0.4880044335832188
1, 350, 300, 0.005, 0.4652135649621267
1, 350, 300, 0.001, 0.2866589041058879
1, 350, 400, 1, 0.0736684961658487
1, 350, 400, 0.5, 0.1025897805245297
1, 350, 400, 0.1, 0.5011802410918677
1, 350, 400, 0.05, 0.5015061060860343
1, 350, 400, 0.01, 0.4930349120644669
1, 350, 400, 0.005, 0.4782210851553669
1, 350, 400, 0.001, 0.33025275800322645
1, 350, 500, 1, 0.07493318548221366
1, 350, 500, 0.5, 0.08789751615689285
1, 350, 500, 0.1, 0.50242812605461
1, 350, 500, 0.05, 0.5053748280088187
1, 350, 500, 0.01, 0.49719842986363316
1, 350, 500, 0.005, 0.48230342243911695
1, 350, 500, 0.001, 0.3371407141671976
1, 350, 600, 1, 0.07467177088054175
1, 350, 600, 0.5, 0.09003314589227324
1, 350, 600, 0.1, 0.5150272383486892
1, 350, 600, 0.05, 0.502414884608074
1, 350, 600, 0.01, 0.5037088431334777
1, 350, 600, 0.005, 0.4926165074008709
1, 350, 600, 0.001, 0.3719788858309141
1, 350, 700, 1, 0.07418702958558673
1, 350, 700, 0.5, 0.07318379912409372
1, 350, 700, 0.1, 0.5160097798749719
1, 350, 700, 0.05, 0.5036660425833364
1, 350, 700, 0.01, 0.5032465075753288
1, 350, 700, 0.005, 0.49390223116931
1, 350, 700, 0.001, 0.3991579248784744
1, 350, 800, 1, 0.09046218031860107
1, 350, 800, 0.5, 0.07834587031267126
1, 350, 800, 0.1, 0.4480762969663322
1, 350, 800, 0.05, 0.5055064264540761
1, 350, 800, 0.01, 0.5024860061044669
1, 350, 800, 0.005, 0.4972864318000496
1, 350, 800, 0.001, 0.4046412374231929
1, 350, 900, 1, 0.10865090677696877
1, 350, 900, 0.5, 0.07885148072154054
1, 350, 900, 0.1, 0.31801414730056327
1, 350, 900, 0.05, 0.5066299670407378
1, 350, 900, 0.01, 0.5085188733823345
1, 350, 900, 0.005, 0.4953329002477774
1, 350, 900, 0.001, 0.4179609511454127
1, 350, 1000, 1, 0.10930496637876247
1, 350, 1000, 0.5, 0.06973428947695327
1, 350, 1000, 0.1, 0.2419671400132896
1, 350, 1000, 0.05, 0.505881415487565
1, 350, 1000, 0.01, 0.4976045215127842
1, 350, 1000, 0.005, 0.4893039553709645
1, 350, 1000, 0.001, 0.4332333332884272
1, 400, 100, 1, 0.36176219693316813
1, 400, 100, 0.5, 0.508187137108849
1, 400, 100, 0.1, 0.49953754439189607
1, 400, 100, 0.05, 0.4879940742077279
1, 400, 100, 0.01, 0.4230131872168046
1, 400, 100, 0.005, 0.3510275848530639
1, 400, 100, 0.001, 0.2183333544720865
1, 400, 200, 1, 0.10913088602388826
1, 400, 200, 0.5, 0.3469654909314961
1, 400, 200, 0.1, 0.5030244129236505
1, 400, 200, 0.05, 0.5008319991702964
1, 400, 200, 0.01, 0.46901055862673524
1, 400, 200, 0.005, 0.4332104328788013
1, 400, 200, 0.001, 0.26310978834683174
1, 400, 300, 1, 0.08572823647438516
1, 400, 300, 0.5, 0.1440029224848582
1, 400, 300, 0.1, 0.5120959768168525
1, 400, 300, 0.05, 0.504975987142039
1, 400, 300, 0.01, 0.48414307341133045
1, 400, 300, 0.005, 0.45969304077245776
1, 400, 300, 0.001, 0.28044556793491165
1, 400, 400, 1, 0.08611089766000639
1, 400, 400, 0.5, 0.10886636791240853
1, 400, 400, 0.1, 0.5013991141979738
1, 400, 400, 0.05, 0.4997276935825163
1, 400, 400, 0.01, 0.4911697194737877
1, 400, 400, 0.005, 0.4741116524544464
1, 400, 400, 0.001, 0.3414345405202739
1, 400, 500, 1, 0.0741118514186915
1, 400, 500, 0.5, 0.09575293149893178
1, 400, 500, 0.1, 0.5126956210959613
1, 400, 500, 0.05, 0.503248403094678
1, 400, 500, 0.01, 0.49299782846477286
1, 400, 500, 0.005, 0.4808150750073578
1, 400, 500, 0.001, 0.3360141324209333
1, 400, 600, 1, 0.0684225783173922
1, 400, 600, 0.5, 0.08713629105214057
1, 400, 600, 0.1, 0.5077689728576036
1, 400, 600, 0.05, 0.4999099771384806
1, 400, 600, 0.01, 0.4999645943004017
1, 400, 600, 0.005, 0.48346121370339235
1, 400, 600, 0.001, 0.35876387748752797
1, 400, 700, 1, 0.07391801337218666
