alpha, beta, c, latent_features, steps, NDCG
100, 1, 0.01, 10, 100, 0.4346566739002658
100, 1, 0.01, 10, 150, 0.437950044137502
100, 1, 0.01, 10, 200, 0.45603391448688724
100, 1, 0.01, 10, 250, 0.44074033600364004
100, 1, 0.01, 30, 100, 0.4809878239978442
100, 1, 0.01, 30, 150, 0.4644247889189577
100, 1, 0.01, 30, 200, 0.47535293483363866
100, 1, 0.01, 30, 250, 0.46064887105377805
100, 1, 0.01, 50, 100, 0.38607260771738844
100, 1, 0.01, 50, 150, 0.38030942594040207
100, 1, 0.01, 50, 200, 0.38275517921061836
100, 1, 0.01, 50, 250, 0.3752467358707334
100, 1, 0.01, 70, 100, 0.37367050888424713
100, 1, 0.01, 70, 150, 0.36928001215147704
100, 1, 0.01, 70, 200, 0.3449926052690034
100, 1, 0.01, 70, 250, 0.31813548427640553
100, 1, 0.01, 90, 100, 0.3896746044260204
100, 1, 0.01, 90, 150, 0.3975086671783938
100, 1, 0.01, 90, 200, 0.37447476428721826
100, 1, 0.01, 90, 250, 0.4141669037844078
100, 1, 0.01, 110, 100, 0.4047201610186733
100, 1, 0.01, 110, 150, 0.40168504396221477
100, 1, 0.01, 110, 200, 0.4205488392439188
100, 1, 0.01, 110, 250, 0.40964746150043163
100, 0.01, 100, 3, 100, 0.26532829534672486
100, 0.01, 100, 3, 150, 0.25762053763180626
100, 0.01, 100, 3, 200, 0.24034901778553813
100, 0.01, 100, 3, 250, 0.2590526114144248
100, 0.01, 100, 10, 100, 0.2918169756384668
100, 0.01, 100, 10, 150, 0.33516199566380256
100, 0.01, 100, 10, 200, 0.31910432649163395
100, 0.01, 100, 10, 250, 0.3080441205155736
100, 0.01, 100, 30, 100, 0.348581049951277
100, 0.01, 100, 30, 150, 0.3205400496091114
100, 0.01, 100, 30, 200, 0.34773035964547916
100, 0.01, 100, 30, 250, 0.36264305612940734
100, 0.01, 100, 50, 100, 0.4122115640746295
