alpha, beta, latent_features, steps, NDCG
100, 1, 20, 100, 0.2082950999205821
100, 1, 20, 150, 0.20895709879325353
100, 1, 20, 200, 0.21105981485188474
100, 1, 30, 50, 0.22150492186409296
100, 1, 30, 100, 0.22343403422171887
100, 1, 30, 150, 0.22731681479979102
100, 1, 30, 200, 0.22085943130028332
100, 1, 50, 50, 0.2620757681385319
100, 1, 50, 100, 0.2570676795303286
100, 1, 50, 150, 0.27025611707819774
100, 1, 50, 200, 0.2578587707298459
100, 1, 80, 50, 0.2909624194756941
100, 1, 80, 100, 0.27794632864695956
100, 1, 80, 150, 0.2794890218056563
100, 1, 80, 200, 0.2838710400499642
100, 1, 100, 50, 0.28282585811479716
100, 1, 100, 100, 0.2885244906803913
100, 1, 100, 150, 0.2836470151692599
100, 1, 100, 200, 0.2742482064277967
100, 0.1, 5, 50, 0.25780154856413595
100, 0.1, 5, 100, 0.2560480167039103
100, 0.1, 5, 150, 0.258392225395304
100, 0.1, 5, 200, 0.25377782747079897
100, 0.1, 10, 50, 0.24007477683332207
100, 0.1, 10, 100, 0.24014645405926208
100, 0.1, 10, 150, 0.2444778151708736
100, 0.1, 10, 200, 0.24964009503142776
100, 0.1, 20, 50, 0.20134261573233408
100, 0.1, 20, 100, 0.2095752709815601
100, 0.1, 20, 150, 0.21830712171723995
100, 0.1, 20, 200, 0.20249207959860746
100, 0.1, 30, 50, 0.22912514948182763
100, 0.1, 30, 100, 0.22055408992048747
100, 0.1, 30, 150, 0.22849927189900185
100, 0.1, 30, 200, 0.21609132753387286
100, 0.1, 50, 50, 0.2574360241733329
100, 0.1, 50, 100, 0.26680874969812246
100, 0.1, 50, 150, 0.2631093936342324
100, 0.1, 50, 200, 0.25773284867549084
100, 0.1, 80, 50, 0.28518694106297754
100, 0.1, 80, 100, 0.2803023433854451
100, 0.1, 80, 150, 0.2800308559590875
100, 0.1, 80, 200, 0.27270102970306703
100, 0.1, 100, 50, 0.27927623408422
100, 0.1, 100, 100, 0.27630173567447597
100, 0.1, 100, 150, 0.2861767348839805
100, 0.1, 100, 200, 0.27780521465691016
100, 0.01, 5, 50, 0.25966574167094686
100, 0.01, 5, 100, 0.2527725118085884
100, 0.01, 5, 150, 0.24624928262464935
100, 0.01, 5, 200, 0.2553030840156536
100, 0.01, 10, 50, 0.24081592025567294
100, 0.01, 10, 100, 0.2414327216442264
100, 0.01, 10, 150, 0.23825954841980562
100, 0.01, 10, 200, 0.24082844144840726
100, 0.01, 20, 50, 0.19957644984392464
100, 0.01, 20, 100, 0.209415888232081
100, 0.01, 20, 150, 0.20890027163455485
100, 0.01, 20, 200, 0.1983859879838215
100, 0.01, 30, 50, 0.21061090626711806
100, 0.01, 30, 100, 0.2072780096806489
100, 0.01, 30, 150, 0.2143869034270999
100, 0.01, 30, 200, 0.21575655934714882
100, 0.01, 50, 50, 0.2583412903973453
100, 0.01, 50, 100, 0.2535488578656754
100, 0.01, 50, 150, 0.25297886007630244
100, 0.01, 50, 200, 0.2687390824390338
100, 0.01, 80, 50, 0.2775266617818812
100, 0.01, 80, 100, 0.28827266081732494
100, 0.01, 80, 150, 0.286904226782852
100, 0.01, 80, 200, 0.2836813662236687
100, 0.01, 100, 50, 0.276665045932369
100, 0.01, 100, 100, 0.2727946578925934
