alpha, beta, latent_features, steps, error_limit, fit_error_limit, learning_rate, NDCG
100000000.0, 10000000000.0, 10, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 600, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 600, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 600, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 600, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 700, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 700, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 700, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 700, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 800, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 800, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 800, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 800, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 900, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 900, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 900, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 900, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 10, 1000, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 10, 1000, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 10, 1000, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 10, 1000, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 100, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 600, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 600, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 600, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 600, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 700, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 700, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 700, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 700, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 800, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 800, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 800, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 800, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 900, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 900, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 900, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 900, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 20, 1000, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 20, 1000, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 20, 1000, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 20, 1000, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 100, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 600, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 600, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 600, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 600, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 700, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 700, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 700, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 700, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 800, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 800, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 800, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 800, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 900, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 900, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 900, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 900, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 50, 1000, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 50, 1000, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 50, 1000, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 50, 1000, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 100, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 600, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 600, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 600, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 600, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 700, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 700, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 700, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 700, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 800, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 800, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 800, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 800, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 900, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 900, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 900, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 900, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 75, 1000, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 75, 1000, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 75, 1000, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 75, 1000, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 100, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 600, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 600, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 600, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 600, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 700, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 700, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 700, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 700, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 800, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 800, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 800, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 800, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 900, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 900, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 900, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 900, 1e-06, 1e-05, 1e-10, nan
100000000.0, 10000000000.0, 100, 1000, 1e-06, 1e-05, 1e-06, nan
100000000.0, 10000000000.0, 100, 1000, 1e-06, 1e-05, 1e-07, nan
100000000.0, 10000000000.0, 100, 1000, 1e-06, 1e-05, 1e-08, nan
100000000.0, 10000000000.0, 100, 1000, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 100, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 600, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 600, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 600, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 600, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 700, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 700, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 700, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 700, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 800, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 800, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 800, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 800, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 900, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 900, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 900, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 900, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 5, 1000, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 5, 1000, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 5, 1000, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 5, 1000, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 100, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 600, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 600, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 600, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 600, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 700, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 700, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 700, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 700, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 800, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 800, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 800, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 800, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 900, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 900, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 900, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 900, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 10, 1000, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 10, 1000, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 10, 1000, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 10, 1000, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 20, 100, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 20, 100, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 20, 100, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 20, 100, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 20, 200, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 20, 200, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 20, 200, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 20, 200, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 20, 300, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 20, 300, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 20, 300, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 20, 300, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 20, 400, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 20, 400, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 20, 400, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 20, 400, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 20, 500, 1e-06, 1e-05, 1e-06, nan
100000000.0, 100000000.0, 20, 500, 1e-06, 1e-05, 1e-07, nan
100000000.0, 100000000.0, 20, 500, 1e-06, 1e-05, 1e-08, nan
100000000.0, 100000000.0, 20, 500, 1e-06, 1e-05, 1e-10, nan
100000000.0, 100000000.0, 20, 600, 1e-06, 1e-05, 1e-06, nan
