alpha, beta, latent_features, steps, C, NDCG
100000000.0, 100000000.0, 10, 200, 1e-05, 0.4916941388410455
100000000.0, 100000000.0, 10, 200, 1e-06, 0.49852364295221824
100000000.0, 100000000.0, 10, 200, 0, 0.512766828001684
100000000.0, 100000000.0, 15, 1, 1000, 0.4576444829376294
100000000.0, 100000000.0, 15, 1, 100, 0.46683834790158046
100000000.0, 100000000.0, 15, 1, 1, 0.4506942053496845
100000000.0, 100000000.0, 15, 1, 0.1, 0.4855992154009576
100000000.0, 100000000.0, 15, 1, 0.01, 0.46546576536113965
100000000.0, 100000000.0, 15, 1, 0.001, 0.47614734031251343
100000000.0, 100000000.0, 15, 1, 0.0001, 0.4817679140254605
100000000.0, 100000000.0, 15, 1, 1e-05, 0.45473417996556187
100000000.0, 100000000.0, 15, 1, 1e-06, 0.4983439748131647
100000000.0, 100000000.0, 15, 1, 0, 0.4635111008455497
100000000.0, 100000000.0, 15, 50, 1000, 0.49674541838796576
100000000.0, 100000000.0, 15, 50, 100, 0.4817111982872793
100000000.0, 100000000.0, 15, 50, 1, 0.4971748566029883
100000000.0, 100000000.0, 15, 50, 0.1, 0.48942481116832576
100000000.0, 100000000.0, 15, 50, 0.01, 0.492344179470032
100000000.0, 100000000.0, 15, 50, 0.001, 0.4928880753608894
100000000.0, 100000000.0, 15, 50, 0.0001, 0.486049269325666
100000000.0, 100000000.0, 15, 50, 1e-05, 0.4828920035617512
100000000.0, 100000000.0, 15, 50, 1e-06, 0.5050714718747795
100000000.0, 100000000.0, 15, 50, 0, 0.49169272119779356
100000000.0, 100000000.0, 15, 100, 1000, 0.4832134826680927
100000000.0, 100000000.0, 15, 100, 100, 0.48580247404266524
100000000.0, 100000000.0, 15, 100, 1, 0.5087510959255067
100000000.0, 100000000.0, 15, 100, 0.1, 0.48463875574597937
100000000.0, 100000000.0, 15, 100, 0.01, 0.48067285192769516
100000000.0, 100000000.0, 15, 100, 0.001, 0.483544741674619
100000000.0, 100000000.0, 15, 100, 0.0001, 0.5048237441530344
100000000.0, 100000000.0, 15, 100, 1e-05, 0.4981619977883131
100000000.0, 100000000.0, 15, 100, 1e-06, 0.49833806394026764
100000000.0, 100000000.0, 15, 100, 0, 0.4864570432431997
100000000.0, 100000000.0, 15, 150, 1000, 0.47922799683985595
100000000.0, 100000000.0, 15, 150, 100, 0.4742410543230408
100000000.0, 100000000.0, 15, 150, 1, 0.4833956541272791
100000000.0, 100000000.0, 15, 150, 0.1, 0.5056916893577548
100000000.0, 100000000.0, 15, 150, 0.01, 0.4829346433441975
100000000.0, 100000000.0, 15, 150, 0.001, 0.5091892958059372
