alpha, regularization, latent_features, learning_rate, NDCG
100000000.0, 1e-05, 100, 1, 1e-08, nan
100000000.0, 1e-05, 100, 1, 1e-09, nan
100000000.0, 1e-05, 100, 1, 1e-10, nan
100000000.0, 1e-05, 100, 1, 1e-11, 0.22878540919787294
100000000.0, 1e-05, 200, 1, 1e-08, nan
100000000.0, 1e-05, 200, 1, 1e-09, nan
100000000.0, 1e-05, 200, 1, 1e-10, nan
100000000.0, 1e-05, 200, 1, 1e-11, 0.20361365114810337
100000000.0, 1e-05, 300, 1, 1e-08, nan
100000000.0, 1e-05, 300, 1, 1e-09, nan
100000000.0, 1e-05, 300, 1, 1e-10, nan
100000000.0, 1e-05, 300, 1, 1e-11, 0.21164044417688538
100000000.0, 1e-05, 500, 1, 1e-08, nan
100000000.0, 1e-05, 500, 1, 1e-09, nan
100000000.0, 1e-05, 500, 1, 1e-10, nan
100000000.0, 1e-05, 500, 1, 1e-11, 0.2826937250550808
100000000.0, 1e-06, 50, 1, 1e-08, nan
100000000.0, 1e-06, 50, 1, 1e-09, nan
100000000.0, 1e-06, 50, 1, 1e-10, nan
100000000.0, 1e-06, 50, 1, 1e-11, 0.24251180100554814
100000000.0, 1e-06, 75, 1, 1e-08, nan
100000000.0, 1e-06, 75, 1, 1e-09, nan
100000000.0, 1e-06, 75, 1, 1e-10, nan
100000000.0, 1e-06, 75, 1, 1e-11, 0.18886916401473947
100000000.0, 1e-06, 100, 1, 1e-08, nan
100000000.0, 1e-06, 100, 1, 1e-09, nan
100000000.0, 1e-06, 100, 1, 1e-10, nan
100000000.0, 1e-06, 100, 1, 1e-11, 0.15477160409163296
100000000.0, 1e-06, 200, 1, 1e-08, nan
100000000.0, 1e-06, 200, 1, 1e-09, nan
100000000.0, 1e-06, 200, 1, 1e-10, nan
100000000.0, 1e-06, 200, 1, 1e-11, 0.19837547643494527
100000000.0, 1e-06, 300, 1, 1e-08, nan
100000000.0, 1e-06, 300, 1, 1e-09, nan
100000000.0, 1e-06, 300, 1, 1e-10, nan
100000000.0, 1e-06, 300, 1, 1e-11, 0.22558879520767675
100000000.0, 1e-06, 500, 1, 1e-08, nan
100000000.0, 1e-06, 500, 1, 1e-09, nan
100000000.0, 1e-06, 500, 1, 1e-10, nan
100000000.0, 1e-06, 500, 1, 1e-11, 0.2159199671419782
100000000.0, 1e-07, 50, 1, 1e-08, nan
100000000.0, 1e-07, 50, 1, 1e-09, nan
100000000.0, 1e-07, 50, 1, 1e-10, nan
100000000.0, 1e-07, 50, 1, 1e-11, 0.13669518606111355
100000000.0, 1e-07, 75, 1, 1e-08, nan
100000000.0, 1e-07, 75, 1, 1e-09, nan
100000000.0, 1e-07, 75, 1, 1e-10, nan
100000000.0, 1e-07, 75, 1, 1e-11, 0.24971334194236833
100000000.0, 1e-07, 100, 1, 1e-08, nan
100000000.0, 1e-07, 100, 1, 1e-09, nan
100000000.0, 1e-07, 100, 1, 1e-10, nan
100000000.0, 1e-07, 100, 1, 1e-11, 0.19415213989852353
100000000.0, 1e-07, 200, 1, 1e-08, nan
100000000.0, 1e-07, 200, 1, 1e-09, nan
100000000.0, 1e-07, 200, 1, 1e-10, nan
100000000.0, 1e-07, 200, 1, 1e-11, 0.16716667364178955
