N, user, item, mf, feature_mf, torch_mf, 
73,  0.29431989058155117,  0.28442049271704073,  0.31574656788455835,  0.31619157139706594,  0.17674969001706511,
74,  0.2933958271635079,  0.28361655223659815,  0.314656192905458,  0.3150807370572931,  0.17626160662017837,
75,  0.2923553701512684,  0.2829455716720698,  0.31365301314583127,  0.31413149535704626,  0.17594368925063122,
76,  0.2914854632851456,  0.2822445516799257,  0.31259726314257474,  0.31325290888735713,  0.1755926847768426,
77,  0.2905622933943985,  0.2814891294858205,  0.3115266058354673,  0.3122581642195536,  0.1754093006539941,
78,  0.2897813159263796,  0.2807277300965221,  0.31062717705937504,  0.3112165955580506,  0.17497693669016762,
79,  0.28893226271079525,  0.2799527982209603,  0.30968721183795206,  0.3101111878196971,  0.17448312614635045,
80,  0.2880759552644671,  0.2792670329699775,  0.30882440178138465,  0.30915705377868635,  0.1739787701151371,
81,  0.2872545455186019,  0.2785215118889783,  0.3079424874916349,  0.3081939327942052,  0.1736492849702094,
82,  0.2864756290576139,  0.27790507346148585,  0.3069951581677951,  0.30723844715334114,  0.17319755479353338,
83,  0.2856643338368042,  0.2774079507956217,  0.30604261008314837,  0.3064426943418272,  0.1726923830764441,
84,  0.2848831343310535,  0.2767837022075487,  0.3051235107690006,  0.30552584201538896,  0.1723610410308566,
85,  0.2841223238346448,  0.27618803416667276,  0.30425867287928404,  0.3045877719995111,  0.17192213603389025,
86,  0.2833351566121181,  0.275447091499948,  0.3033893633830262,  0.3038124444153581,  0.17162805139600937,
87,  0.2826716701768878,  0.27486300964916327,  0.30257668058012915,  0.30294848439521116,  0.171320806288072,
88,  0.2818033311491294,  0.274129092188738,  0.30166941726187246,  0.30211876598697424,  0.17092248283994582,
89,  0.2810962511466408,  0.2735421294267062,  0.30082864157456546,  0.3013208185679195,  0.1706218596062957,
90,  0.2803401101618898,  0.27295456746791674,  0.30000040179455,  0.3004611479642859,  0.1702563712814602,
91,  0.2796268331202971,  0.27236083219809243,  0.29913534915164164,  0.29970431318821933,  0.16992288999189095,
92,  0.27877291349105804,  0.2717256904467344,  0.29839362051231233,  0.29890659645522044,  0.16956155185898059,
93,  0.2780240720134598,  0.27113570380617097,  0.29757927445493737,  0.2980893489833229,  0.16921873631198517,
94,  0.27738201785816813,  0.2705239642863451,  0.29678998994551326,  0.2972954881513661,  0.16889268334553026,
95,  0.2766706449483658,  0.2698772620960128,  0.29595605902757716,  0.2965801587314655,  0.16871641613259203,
96,  0.27604449511301604,  0.2693060164933507,  0.2952475870987232,  0.2957841623666273,  0.1684863535315801,
97,  0.2753748295449923,  0.26873136129412845,  0.2944584115705609,  0.2949880621726855,  0.16823981390775852,
98,  0.2747015274672825,  0.2682941147129009,  0.2936345485401111,  0.2942048528366595,  0.16793908840783336,
99,  0.2740201685926223,  0.26776564567790123,  0.2929207003097327,  0.29354126339048214,  0.16760204991163957,
100,  0.27331648708365686,  0.26728839436483676,  0.292260427283375,  0.29289014779000416,  0.16718775787891071,
